frequency,pump_pwm,mean_disp_mm,max_disp_mm,min_disp_mm,amplitude_mm,n_frames,mean_pressure,max_pressure,min_pressure,amplitude_pressure
0,0,,,,,,0.6279216828893442,0.7164171006944444,0.5604383680555555,0.15597873263888895
0,200,3.1715224369084343,3.1793776441415225,3.1645240925299443,0.014853551611578197,500.0,43.89954209161436,45.40771484375001,42.02365451388889,3.3840603298611143
5,200,1.9924834621539498,2.6434562430764355,0.9071372990513401,1.7363189440250952,500.0,14.231872282915539,31.95963541666667,0.6689453125,31.29069010416667
10,50,1.1605782882972018,1.4727272727272724,0.6903362617388669,0.7823910109884056,428.0,1.9185961813593109,5.226236979166667,0.16710069444444436,5.059136284722222
10,70,1.3183534380338169,1.7158748551564307,0.7072085898566335,1.008666265299797,500.0,3.351606364509457,6.880967881944445,0.546875,6.334092881944445
10,200,2.0666114746142132,2.5565418757236587,1.3292734630950085,1.2272684126286502,500.0,12.184212952774518,24.120008680555557,0.8927408854166666,23.22726779513889
10,200,2.0666114746142132,2.5565418757236587,1.3292734630950085,1.2272684126286502,500.0,12.184212952774518,24.120008680555557,0.8927408854166666,23.22726779513889
15,200,2.09507929815343,2.444916071773105,1.4424966287805816,1.0024194429925233,500.0,11.702799697052098,21.380208333333336,1.8150499131944444,19.565158420138893
20,50,1.146411525080105,1.4424966287805816,0.7666057825099125,0.6758908462706691,500.0,1.8940000180844907,5.049913194444445,0.5875651041666666,4.462348090277778
20,60,1.2582207962067027,1.5525606469002695,0.7685358729498915,0.7840247739503781,500.0,2.3546655627264492,5.578884548611112,0.6553819444444444,4.923502604166667
20,70,1.3636376212267636,1.6631376323387874,0.8818883024995655,0.7812493298392219,500.0,2.964503835388322,5.836588541666667,0.6621636284722222,5.174424913194445
20,80,1.4348181468575831,1.7743550250288795,1.1059907834101383,0.6683642416187412,500.0,3.284986324030399,6.704644097222222,0.6486002604166666,6.056043836805555
20,90,1.506093812366041,1.7740134744947067,1.1059907834101383,0.6680226910845684,500.0,4.0778218047105455,7.769368489583333,0.7367621527777778,7.032606336805555
20,100,1.5828672964921817,1.8841639407350395,1.2168235068177453,0.6673404339172941,500.0,4.875235174046955,8.603515625,0.8317057291666666,7.771809895833333
20,110,1.624733250987748,1.8841639407350395,1.2170572416442567,0.6671066990907828,500.0,5.352669079631669,9.91238064236111,0.9876844618055556,8.924696180555555
20,120,1.7067136717374096,1.9949971137194535,1.2165898617511521,0.7784072519683014,500.0,6.190290406527194,11.065266927083334,1.0758463541666667,9.989420572916668
20,130,1.7552830811007893,2.107621247113164,1.2175249807840125,0.8900962663291516,500.0,6.914796517565359,12.279188368055555,1.2386067708333333,11.040581597222221
20,140,1.8158471249771244,2.115121200461716,1.3274438256193586,0.7876773748423573,500.0,7.816517340443121,13.51345486111111,1.5030924479166667,12.010362413194445
20,150,1.8736142656488972,2.226361362324418,1.4380641444209719,0.788297217903446,500.0,8.329748446053832,14.43576388888889,1.8693033854166667,12.566460503472223
20,160,1.9454307019127268,2.240462427745665,1.4380641444209719,0.8023982833246932,500.0,8.925061946792464,15.77853732638889,2.3033311631944446,13.475206163194445
20,165,2.017203060320585,2.34728323699422,1.548684463222585,0.7985987737716349,500.0,10.190819439455618,16.53130425347222,2.961154513888889,13.570149739583332
20,170,2.0323225897769626,2.3436381135707416,1.6589861751152075,0.6846519384555341,500.0,10.248657541989667,16.85004340277778,3.1917317708333335,13.658311631944445
20,180,2.082189643915417,2.3496050857252935,1.6593047820241982,0.6903003037010953,500.0,10.606317838894535,17.779134114583332,3.4969075520833335,14.282226562499998
20,190,2.112538019397408,2.4614791987673343,1.6586676905356117,0.8028115082317226,500.0,11.501101179645802,18.9794921875,3.7410481770833335,15.238444010416666
20,200,2.1106528018501503,2.444916071773105,1.6644191870545173,0.7804968847185876,500.0,11.6227375010334,19.366048177083336,3.015407986111111,16.350640190972225
20,210,2.1573270287664235,2.4753902486028134,1.6586676905356117,0.8167225580672017,500.0,12.042582947530862,20.20697699652778,3.41552734375,16.79144965277778
20,220,2.1951522669668173,2.5822316438620163,1.7702650787552823,0.811966565106734,500.0,12.673748491148068,21.0546875,3.686794704861111,17.36789279513889
20,230,2.223940722988363,2.59672131147541,1.6814786291875239,0.9152426822878861,500.0,12.970021710662989,22.1533203125,3.8292100694444446,18.324110243055557
20,240,2.2324488744004336,2.596835198764955,1.7713078548108323,0.8255273439541229,500.0,13.553606233369031,22.70941840277778,3.9851888020833335,18.724229600694446
20,250,2.25288955270627,2.599999999999999,1.7847692307692307,0.8152307692307685,500.0,14.667821275283842,23.726671006944446,4.283582899305555,19.443088107638893
20,255,2.2576254516834005,2.598726114649682,1.7806153846153852,0.8181107300342967,500.0,14.122362932633312,24.07931857638889,4.527723524305556,19.551595052083332
25,200,2.1248266214016356,2.44397299903568,1.7743550250288795,0.6696179740068005,500.0,11.8479309803487,18.715006510416668,3.78173828125,14.933268229166668
30,200,2.1162889322566967,2.3324334747396835,1.7746967071057196,0.557736767633964,500.0,11.38472263168239,17.58246527777778,5.138075086805556,12.444390190972221
35,200,2.103194860031317,2.3337835230561454,1.7750385208012325,0.558745002254913,500.0,11.342704290917755,17.616373697916668,5.49072265625,12.125651041666668
40,200,2.0901088802825214,2.3324334747396835,1.885615251299827,0.44681822343985655,500.0,11.004720281970927,17.534993489583332,5.144856770833334,12.390136718749998
45,200,2.0920782137368783,2.332883317261331,1.8852522140931844,0.44763110316814636,500.0,11.121704761951207,17.20947265625,5.592447916666667,11.617024739583332
50,200,2.092444123506097,2.331084987473502,1.885615251299827,0.4454697361736748,500.0,10.932026782066995,16.158311631944446,5.456814236111112,10.701497395833336
55,200,2.0737570540813253,2.2213652140377937,1.885615251299827,0.33574996273796676,500.0,10.592711708155619,16.036241319444446,5.300835503472222,10.735405815972225
60,200,2.0639853219657702,2.2213652140377937,1.8852522140931844,0.3361129999446093,500.0,10.526565330615943,15.480143229166668,5.877278645833334,9.602864583333334
65,200,2.057811099790079,2.2209369577790627,1.8852522140931844,0.3356847436858783,500.0,10.604448442583205,16.47705078125,5.517849392361112,10.95920138888889
70,200,2.055681299269959,2.2209369577790627,1.8841639407350395,0.3367730170440233,500.0,10.451319902792745,16.50417751736111,5.572102864583334,10.932074652777777
75,200,2.0768381534059315,2.2205088666152664,1.8848893166506258,0.3356195499646406,500.0,10.858633773833457,18.565809461805557,4.39208984375,14.173719618055557
80,200,2.071327195160396,2.2205088666152664,1.8841639407350395,0.3363449258802269,500.0,10.729060667235643,18.4912109375,4.344618055555555,14.146592881944445
85,200,2.0458610680258342,2.2205088666152664,1.8841639407350395,0.3363449258802269,500.0,9.59209479318957,20.50537109375,2.466091579861111,18.03927951388889
90,200,2.0496456861742605,2.2213652140377937,1.8845265588914548,0.33683865514633893,500.0,10.031306719539142,19.96283637152778,2.744140625,17.21869574652778
95,200,2.0638017435593836,2.2213652140377937,1.8841639407350395,0.3372012733027543,500.0,9.776349836164291,20.430772569444446,2.723795572916667,17.70697699652778
100,200,2.052147859284778,2.2205088666152664,1.8841639407350395,0.3363449258802269,500.0,10.029742162932392,20.43755425347222,2.6695421006944446,17.76801215277778
105,200,1.9125037461944485,1.9988432620011567,1.77264858626659,0.22619467573456675,500.0,8.145827305169753,18.54546440972222,1.4556206597222223,17.08984375
110,200,1.925077421931192,1.9984579799537396,1.77264858626659,0.2258093936871497,500.0,8.356173346596329,18.43695746527778,1.530219184027778,16.90673828125
115,200,1.898881462741545,1.9980728464058586,1.7733307677506254,0.2247420786552332,500.0,8.501163486227824,18.37592230902778,1.3810221354166667,16.99490017361111
120,200,1.9087289978074347,1.9973030244654209,1.77264858626659,0.2246544381988309,500.0,8.040905917757497,18.443739149305557,1.4827473958333333,16.960991753472225
