frequency,pump_pwm,mean_disp_mm,max_disp_mm,min_disp_mm,amplitude_mm,n_frames
10,50,1.1605782882972018,1.4727272727272724,0.6903362617388669,0.7823910109884056,428
10,70,1.3183534380338169,1.7158748551564307,0.7072085898566335,1.008666265299797,500
10,200,2.0666114746142132,2.5565418757236587,1.3292734630950085,1.2272684126286502,500
15,200,2.09507929815343,2.444916071773105,1.4424966287805816,1.0024194429925233,500
20,50,1.146411525080105,1.4424966287805816,0.7666057825099125,0.6758908462706691,500
20,60,1.2582207962067027,1.5525606469002695,0.7685358729498915,0.7840247739503781,500
20,70,1.3636376212267636,1.6631376323387874,0.8818883024995655,0.7812493298392219,500
20,80,1.4348181468575831,1.7743550250288795,1.1059907834101383,0.6683642416187412,500
20,90,1.506093812366041,1.7740134744947067,1.1059907834101383,0.6680226910845684,500
20,100,1.5828672964921817,1.8841639407350395,1.2168235068177453,0.6673404339172941,500
20,110,1.624733250987748,1.8841639407350395,1.2170572416442567,0.6671066990907828,500
20,120,1.7067136717374096,1.9949971137194535,1.2165898617511521,0.7784072519683014,500
20,130,1.7552830811007893,2.107621247113164,1.2175249807840125,0.8900962663291516,500
20,140,1.8158471249771244,2.115121200461716,1.3274438256193586,0.7876773748423573,500
20,150,1.8736142656488972,2.226361362324418,1.4380641444209719,0.788297217903446,500
20,160,1.9454307019127268,2.240462427745665,1.4380641444209719,0.8023982833246932,500
20,165,2.017203060320585,2.34728323699422,1.548684463222585,0.7985987737716349,500
20,170,2.0323225897769626,2.3436381135707416,1.6589861751152075,0.6846519384555341,500
20,180,2.082189643915417,2.3496050857252935,1.6593047820241982,0.6903003037010953,500
20,190,2.112538019397408,2.4614791987673343,1.6586676905356117,0.8028115082317226,500
20,200,2.1106528018501503,2.444916071773105,1.6644191870545173,0.7804968847185876,500
20,210,2.1573270287664235,2.4753902486028134,1.6586676905356117,0.8167225580672017,500
20,220,2.1951522669668173,2.5822316438620163,1.7702650787552823,0.811966565106734,500
20,230,2.223940722988363,2.59672131147541,1.6814786291875239,0.9152426822878861,500
20,240,2.2324488744004336,2.596835198764955,1.7713078548108323,0.8255273439541229,500
20,250,2.25288955270627,2.599999999999999,1.7847692307692307,0.8152307692307685,500
20,255,2.2576254516834005,2.598726114649682,1.7806153846153852,0.8181107300342967,500
25,200,2.1248266214016356,2.44397299903568,1.7743550250288795,0.6696179740068005,500
30,200,2.1162889322566967,2.3324334747396835,1.7746967071057196,0.557736767633964,500
35,200,2.103194860031317,2.3337835230561454,1.7750385208012325,0.558745002254913,500
40,200,2.0901088802825214,2.3324334747396835,1.885615251299827,0.44681822343985655,500
45,200,2.0920782137368783,2.332883317261331,1.8852522140931844,0.44763110316814636,500
50,200,2.092444123506097,2.331084987473502,1.885615251299827,0.4454697361736748,500
55,200,2.0737570540813253,2.2213652140377937,1.885615251299827,0.33574996273796676,500
60,200,2.0639853219657702,2.2213652140377937,1.8852522140931844,0.3361129999446093,500
65,200,2.057811099790079,2.2209369577790627,1.8852522140931844,0.3356847436858783,500
70,200,2.055681299269959,2.2209369577790627,1.8841639407350395,0.3367730170440233,500
75,200,2.0768381534059315,2.2205088666152664,1.8848893166506258,0.3356195499646406,500
80,200,2.071327195160396,2.2205088666152664,1.8841639407350395,0.3363449258802269,500
85,200,2.0458610680258342,2.2205088666152664,1.8841639407350395,0.3363449258802269,500
90,200,2.0496456861742605,2.2213652140377937,1.8845265588914548,0.33683865514633893,500
95,200,2.0638017435593836,2.2213652140377937,1.8841639407350395,0.3372012733027543,500
100,200,2.052147859284778,2.2205088666152664,1.8841639407350395,0.3363449258802269,500
105,200,1.9125037461944485,1.9988432620011567,1.77264858626659,0.22619467573456675,500
110,200,1.925077421931192,1.9984579799537396,1.77264858626659,0.2258093936871497,500
115,200,1.898881462741545,1.9980728464058586,1.7733307677506254,0.2247420786552332,500
120,200,1.9087289978074347,1.9973030244654209,1.77264858626659,0.2246544381988309,500
